area,eccentricity,major_axis_length,minor_axis_length,label
371447,0.5377257701643869,753.2970410076074,635.1196500854448,MO
554048,0.1930274149655343,851.2269530038031,835.2182373344964,MO
316128,0.4584344212944574,674.6518368895624,599.5821383966245,MO
327667,0.20722420266141672,654.4788928709005,640.2724326297871,MO
389112,0.40681043250765936,739.802870971734,675.8192448146144,MO
444681,0.48087496867811497,807.202875169545,707.7467462465434,MO
360410,0.3632664658616431,704.5298276531397,656.4000749674975,MO
465743,0.20227115965196965,780.626167122669,764.4902771392387,MO
488142,0.5181946073193298,855.0795872070198,731.3177079297612,MO
389730,0.6261166462850087,798.4602429255924,622.5829302467876,MO
426437,0.48246857533615883,790.7285541784097,692.6096413594338,MO
310161,0.5492281616133954,689.5744363222454,576.2583515630203,MO
290480,0.5126207874742772,657.1190089015843,564.2123181963702,MO
213741,0.4120022691568478,547.7487893096958,499.0992861180165,MO
558403,0.318103153888677,868.238963479861,823.1392523337579,MO
440937,0.6231301298229215,849.2350249461109,664.2021487481346,MO
523447,0.3405679591117371,845.266050831536,794.7359639755134,MO
293586,0.5287539204395674,664.2519478462365,563.8005608995468,MO
388235,0.17027061292356038,711.7264639469813,701.3333646321533,MO
201127,0.6644312867207727,589.6977757260446,440.71025501959514,MO
457876,0.44601470591796977,810.8528932641613,725.7341233288428,MO
411061,0.4437869080486532,766.7224681579745,687.0848035639639,MO
448862,0.18233095164458618,764.8149336092067,751.9945065224427,MO
305710,0.5095631831496894,675.7936092607844,581.4752855264096,MO
489266,0.43554643608057886,835.0683415561138,751.700348820012,MO
